,country,sex,height,weight,age,years_cl,grades_max,grades_mean,year_last,max_fra
1274,AUS,0,180,73,31.0,12,62,55.578125,2012,8a+/8b
1275,GBR,0,182,73,30.0,16,66,55.51587301587302,2016,8b+/8c
1276,FRA,0,180,68,22.0,7,62,52.2,2006,8a+/8b
1277,BRA,0,183,73,21.0,7,66,55.13513513513514,2010,8b+/8c
1278,DEU,0,178,68,28.0,12,70,61.29323308270677,2016,8c+/9a
1279,MEX,0,170,78,33.0,19,57,43.44444444444444,2015,7c+
1280,SVN,0,183,73,30.0,22,68,54.57142857142857,2015,8c/+
1281,FRA,0,185,68,37.0,13,62,46.398305084745765,2017,8a+/8b
1282,PRT,0,184,78,25.0,10,62,47.93893129770992,2013,8a+/8b
1283,FRA,0,178,68,17.0,6,64,57.58620689655172,2006,8b/+
1284,SWE,0,178,73,27.0,13,49,37.83870967741935,2006,7a+
1285,SVN,0,189,78,30.0,9,66,51.476323119777156,2011,8b+/8c
1286,FRA,0,182,68,41.0,23,55,48.958333333333336,2017,7c
1287,ESP,0,177,68,34.0,20,72,57.458333333333336,2017,9a/+
1288,SWE,0,187,78,30.0,5,55,49.2,2006,7c
1289,FRA,0,172,63,35.0,11,64,53.50735294117647,2011,8b/+
1290,DEU,0,183,73,31.0,17,62,44.50735294117647,2017,8a+/8b
1291,BEL,0,176,73,43.0,17,57,47.19620253164557,2017,7c+
1292,FRA,0,177,68,29.0,20,66,54.82707993474715,2017,8b+/8c
1293,FRA,0,180,78,21.0,6,62,53.78787878787879,2010,8a+/8b
1294,BRA,0,178,68,18.0,3,66,57.166666666666664,2002,8b+/8c
1295,NLD,0,181,73,30.0,18,68,56.00694444444444,2016,8c/+
1296,NLD,0,187,73,20.0,14,66,56.152542372881356,2009,8b+/8c
1297,SWE,0,180,73,28.0,6,55,44.22,2009,7c
1298,POL,0,168,68,33.0,12,51,39.30357142857143,2017,7b
1299,CHE,0,183,73,34.0,14,59,42.249645390070924,2017,8a
1300,ESP,0,171,63,31.0,7,64,54.0,2009,8b/+
1301,GBR,0,174,73,36.0,21,55,51.0,2009,7c
1302,POL,0,187,73,35.0,17,59,50.31288343558282,2015,8a
1303,other,0,179,73,21.0,10,66,63.375,2003,8b+/8c
1304,NLD,0,177,63,35.0,15,64,49.48453608247423,2017,8b/+
1305,DEU,0,181,68,45.0,22,55,46.41125541125541,2015,7c
1306,NLD,0,168,63,47.0,20,66,55.35326086956522,2017,8b+/8c
1307,ESP,0,170,58,18.0,5,62,52.67857142857143,2007,8a+/8b
1308,other,0,170,63,20.0,6,62,51.45454545454545,2006,8a+/8b
1309,FRA,0,183,73,37.0,13,59,52.142857142857146,2008,8a
1310,ITA,0,181,83,31.0,6,49,38.5,2007,7a+
1311,BRA,0,168,58,28.0,13,66,60.54545454545455,2005,8b+/8c
1312,FRA,0,171,68,43.0,24,51,38.56692913385827,2013,7b
1313,FRA,0,175,63,32.0,21,68,53.588235294117645,2017,8c/+
1314,SVN,0,178,63,19.0,5,53,51.285714285714285,2005,7b+
1315,DEU,0,177,73,31.0,7,46,36.391304347826086,2012,6c+/7a
1316,POL,0,180,73,41.0,21,62,62.0,2010,8a+/8b
1317,CAN,0,186,68,30.0,13,62,54.604651162790695,2012,8a+/8b
1318,USA,0,177,68,32.0,17,64,56.91525423728814,2009,8b/+
1319,USA,0,175,83,28.0,8,46,37.06666666666667,2009,6c+/7a
1320,CZE,0,182,73,28.0,5,50,40.958333333333336,2005,7a+/7b
1321,CAN,0,178,73,27.0,4,64,48.04761904761905,2009,8b/+
1322,USA,0,180,73,29.0,4,59,49.627906976744185,2008,8a
1323,AUT,0,180,78,31.0,7,49,34.1875,2011,7a+
1324,SWE,0,187,78,43.0,25,56,49.0,2013,7c/+
1325,POL,0,184,83,28.0,11,62,47.65296803652968,2015,8a+/8b
1326,POL,0,175,73,27.0,9,62,52.45283018867924,2009,8a+/8b
1327,FRA,0,177,63,19.0,8,66,55.256410256410255,2009,8b+/8c
1328,ITA,0,185,78,35.0,7,49,38.608333333333334,2013,7a+
1329,DNK,0,179,73,34.0,20,61,51.557522123893804,2013,8a+
1330,AUS,0,180,73,25.0,7,53,41.836363636363636,2009,7b+
1331,ESP,0,177,73,29.0,14,53,46.72727272727273,2007,7b+
