,user_id,date_first,date_last,grades_count,grades_first,grades_last,grades_max,grades_mean,year_first,year_last
23791,50551,2013-08-01 22:00:00,2013-08-01 22:00:00,4,40,29,42,35.5,2013,2013
23792,50552,2013-08-01 22:00:00,2017-09-05 22:00:00,316,51,49,59,44.721518987341774,2013,2017
23793,50555,2013-08-20 22:00:00,2013-09-23 22:00:00,7,44,42,51,46.142857142857146,2013,2013
23794,50559,2013-08-01 22:00:00,2013-05-03 22:00:00,3,44,49,49,46.333333333333336,2013,2013
23795,50567,2013-08-02 22:00:00,2013-08-07 22:00:00,2,55,57,57,56.0,2013,2013
23796,50568,2013-08-01 22:00:00,2017-03-25 23:00:00,97,46,44,62,48.68041237113402,2013,2017
23797,50569,2013-07-03 22:00:00,2017-08-05 22:00:00,382,57,57,75,46.6151832460733,2013,2017
23798,50575,2013-08-02 22:00:00,2016-09-19 22:00:00,50,49,53,59,50.78,2013,2016
23799,50577,2013-01-03 23:00:00,2015-10-07 22:00:00,41,36,36,46,38.170731707317074,2013,2015
23800,50579,2014-02-22 23:00:00,2014-03-21 23:00:00,4,42,49,49,43.25,2014,2014
23801,50580,2013-08-03 22:00:00,2013-08-02 22:00:00,7,33,33,36,31.714285714285715,2013,2013
23802,50584,2012-10-19 22:00:00,2013-08-26 22:00:00,11,29,36,53,37.72727272727273,2012,2013
23803,50586,2013-08-30 22:00:00,2016-12-17 23:00:00,418,33,53,57,40.856459330143544,2013,2016
23804,50591,2013-08-03 22:00:00,2013-08-03 22:00:00,1,37,37,37,37.0,2013,2013
23805,50593,2013-08-04 22:00:00,2013-08-04 22:00:00,50,36,42,49,40.08,2013,2013
23806,50596,2013-08-04 22:00:00,2017-08-05 22:00:00,94,38,42,49,36.98936170212766,2013,2017
23807,50597,2013-07-05 22:00:00,2013-08-07 22:00:00,9,46,49,49,44.333333333333336,2013,2013
23808,50599,2013-07-22 22:00:00,2016-02-20 23:00:00,225,33,55,55,44.08,2013,2016
23809,50604,2013-07-25 22:00:00,2017-08-17 22:00:00,80,35,40,40,34.7625,2013,2017
23810,50605,2013-06-30 22:00:00,2015-01-02 23:00:00,57,33,49,53,42.8421052631579,2013,2015
23811,50609,2013-08-05 22:00:00,2013-08-05 22:00:00,16,51,46,53,46.8125,2013,2013
23812,50612,2013-08-02 22:00:00,2014-05-09 22:00:00,22,50,50,56,49.31818181818182,2013,2014
23813,50615,2013-07-29 22:00:00,2014-08-16 22:00:00,19,21,33,36,28.94736842105263,2013,2014
23814,50616,2013-08-02 22:00:00,2013-08-03 22:00:00,6,40,51,51,38.5,2013,2013
23815,50619,2013-07-29 22:00:00,2013-07-06 22:00:00,18,44,40,49,40.388888888888886,2013,2013
23816,50620,2013-08-05 22:00:00,2013-08-05 22:00:00,7,46,46,53,46.0,2013,2013
23817,50621,2017-04-01 22:00:00,2009-06-27 22:00:00,1951,38,36,64,38.76217324449001,2017,2009
23818,50622,2017-03-19 23:00:00,2017-04-01 22:00:00,12,51,52,55,50.916666666666664,2017,2017
23819,50623,2013-07-09 22:00:00,2015-11-16 23:00:00,25,55,62,62,50.52,2013,2015
23820,50630,2013-05-18 22:00:00,2014-08-06 22:00:00,10,46,33,46,36.9,2013,2014
23821,50633,2013-07-20 22:00:00,2014-06-20 22:00:00,60,21,38,41,33.78333333333333,2013,2014
23822,50638,2013-07-31 22:00:00,2017-08-12 22:00:00,90,38,33,42,35.44444444444444,2013,2017
23823,50641,2013-07-13 22:00:00,2013-11-02 23:00:00,13,21,33,38,33.15384615384615,2013,2013
23824,50643,2013-05-03 22:00:00,2014-07-19 22:00:00,64,36,29,44,35.3125,2013,2014
23825,50647,2013-08-07 22:00:00,2016-10-20 22:00:00,55,51,51,55,48.78181818181818,2013,2016
23826,50650,2013-07-24 22:00:00,2013-08-07 22:00:00,4,29,38,38,34.5,2013,2013
23827,50652,2013-08-07 22:00:00,2013-06-28 22:00:00,2,48,49,49,48.5,2013,2013
23828,50653,2013-08-05 22:00:00,2013-08-05 22:00:00,2,21,21,21,21.0,2013,2013
23829,50654,2013-07-04 22:00:00,2017-07-14 22:00:00,206,36,49,51,38.407766990291265,2013,2017
23830,50656,2013-08-21 22:00:00,2013-08-21 22:00:00,21,42,44,51,43.38095238095238,2013,2013
23831,50657,2010-04-16 22:00:00,2017-08-26 22:00:00,9,33,40,40,35.0,2010,2017
